playerID,year,CrushA,CrushTD,CrushY,CrushGP,CrecA,CrecTD,CrecY,CrecGP,CpassA,CpassTD,CpassY,CpassGP
acesanders/2540267,2014,2,0,4,15.0,51.0,1.0,484.0,15.0,1.0,1.0,21.0,15.0
adamhumphries/2553895,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamhumphries/2553895,2016,0,0,0,0.0,27.0,1.0,260.0,13.0,0.0,0.0,0.0,0.0
adamjennings/2495866,2006,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamjennings/2495866,2007,1,0,-4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamjones/2506345,2006,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamthielen/2541785,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamthielen/2541785,2015,0,0,0,0.0,8.0,1.0,137.0,16.0,0.0,0.0,0.0,0.0
adamthielen/2541785,2016,4,0,89,16.0,20.0,1.0,281.0,32.0,0.0,0.0,0.0,0.0
adamvinatieri/2503471,2004,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamwalker/2503497,1993,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamwalker/2503497,1994,5,0,17,10.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0
adamwalker/2503497,1995,18,1,71,18.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0
adamwalker/2528077,1987,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adgerarmstrong/2508627,1981,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adgerarmstrong/2508627,1982,31,0,146,16.0,29.0,1.0,278.0,16.0,0.0,0.0,0.0,0.0
adgerarmstrong/2508627,1983,39,0,161,22.0,41.0,1.0,353.0,22.0,0.0,0.0,0.0,0.0
adgerarmstrong/2508627,1984,46,0,191,33.0,56.0,3.0,526.0,33.0,0.0,0.0,0.0,0.0
adgerarmstrong/2508627,1985,56,2,225,48.0,78.0,6.0,706.0,48.0,0.0,0.0,0.0,0.0
adimchinobeechemandu/2506072,2004,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adimchinobeechemandu/2506072,2007,8,0,25,4.0,3.0,0.0,25.0,4.0,1.0,0.0,0.0,4.0
adrianarrington/1058,2010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrianarrington/1058,2011,0,0,0,0.0,7.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0
adrianmadise/2505446,2003,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2002,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2003,19,1,101,9.0,3.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2004,41,1,171,15.0,4.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2005,47,1,190,29.0,6.0,0.0,53.0,29.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2006,123,3,581,45.0,13.0,0.0,101.0,45.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2007,133,5,622,61.0,19.0,0.0,189.0,61.0,0.0,0.0,0.0,0.0
adrianpeterson/2505173,2008,284,8,1132,77.0,70.0,0.0,609.0,77.0,1.0,1.0,9.0,16.0
adrianpeterson/2505173,2009,304,8,1232,92.0,76.0,0.0,654.0,92.0,1.0,1.0,9.0,16.0
adrianpeterson/2507164,2007,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2008,238,12,1341,14.0,19.0,1.0,268.0,14.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2009,601,22,3101,30.0,40.0,1.0,393.0,30.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2010,915,40,4484,46.0,83.0,1.0,829.0,46.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2011,1198,52,5782,61.0,119.0,2.0,1170.0,61.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2012,1406,64,6752,73.0,137.0,3.0,1309.0,73.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2013,1754,76,8849,89.0,177.0,4.0,1526.0,89.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2014,2033,86,10115,103.0,206.0,5.0,1697.0,103.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2015,2054,86,10190,104.0,208.0,5.0,1715.0,104.0,0.0,0.0,0.0,0.0
adrianpeterson/2507164,2016,2381,97,11675,120.0,238.0,5.0,1937.0,120.0,0.0,0.0,0.0,0.0
ahmadrashad/2523758,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahmadrashad/2523758,1980,0,0,0,0.0,80.0,9.0,1156.0,16.0,0.0,0.0,0.0,0.0
ahmadrashad/2523758,1981,1,0,8,16.0,149.0,14.0,2251.0,32.0,0.0,0.0,0.0,0.0
ahmadrashad/2523758,1982,1,0,8,16.0,207.0,21.0,3135.0,48.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2006,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2007,7,0,21,14.0,15.0,0.0,138.0,14.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2008,8,0,29,25.0,24.0,0.0,198.0,25.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2009,16,0,50,41.0,37.0,2.0,336.0,41.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2010,17,0,55,57.0,49.0,2.0,415.0,57.0,0.0,0.0,0.0,0.0
ahmardhall/2507007,2011,18,0,56,73.0,64.0,2.0,515.0,73.0,0.0,0.0,0.0,0.0
ajmccarron/2543497,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akeemhunt/2553660,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akeemhunt/2553660,2016,17,0,96,7.0,6.0,0.0,39.0,7.0,0.0,0.0,0.0,0.0
alancross/2556508,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alanricard/2503875,2002,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alanricard/2503875,2003,14,2,58,16.0,10.0,0.0,60.0,16.0,0.0,0.0,0.0,0.0
alanricard/2503875,2004,33,2,137,32.0,19.0,0.0,122.0,32.0,0.0,0.0,0.0,0.0
alanricard/2503875,2005,43,2,173,48.0,30.0,0.0,161.0,48.0,0.0,0.0,0.0,0.0
alanrisher/2524210,1987,1,0,10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alanrisher/2524210,1985,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albertwilson/2550272,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albertwilson/2550272,2015,0,0,0,0.0,16.0,0.0,260.0,12.0,0.0,0.0,0.0,0.0
albertwilson/2550272,2016,5,0,26,14.0,51.0,2.0,711.0,26.0,0.0,0.0,0.0,0.0
albertyoung/2507378,2009,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albertyoung/2507378,2010,12,0,53,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alchandler/2511334,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alchandler/2511334,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldelgreco/2500360,1988,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldixon/2512973,1980,0,0,0,0.0,2.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0
aldixon/2512973,1981,0,0,0,0.0,9.0,1.0,133.0,17.0,0.0,0.0,0.0,0.0
aldixon/2512973,1982,1,0,-5,16.0,38.0,3.0,489.0,33.0,0.0,0.0,0.0,0.0
aldixon/2512973,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldixon/2512973,1983,1,0,-5,16.0,56.0,5.0,740.0,41.0,0.0,0.0,0.0,0.0
aldrickrobinson/2495331,2016,4,0,10,31.0,30.0,5.0,608.0,36.0,0.0,0.0,0.0,0.0
aldrickrobinson/2495331,2012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrickrobinson/2495331,2013,1,0,14,15.0,11.0,3.0,237.0,15.0,0.0,0.0,0.0,0.0
aldrickrobinson/2495331,2014,4,0,10,31.0,29.0,5.0,602.0,31.0,0.0,0.0,0.0,0.0
aledwards/2500509,1990,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aledwards/2500509,1991,0,0,0,0.0,2.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0
aledwards/2500509,1992,1,0,17,16.0,24.0,1.0,239.0,30.0,0.0,0.0,0.0,0.0
alexbannister/2504617,2001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexbannister/2504617,2003,0,0,0,0.0,4.0,0.0,50.0,16.0,0.0,0.0,0.0,0.0
alexbannister/2504617,2004,0,0,0,0.0,7.0,1.0,111.0,32.0,0.0,0.0,0.0,0.0
alexcollins/2555430,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexellis/2556737,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexerickson/2556519,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexespinoza/2513700,1987,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexsmith/2506340,2013,212,4,761,80.0,1.0,0.0,-6.0,11.0,2177.0,81.0,14280.0,80.0
alexsmith/2506340,2014,288,5,1192,95.0,2.0,0.0,-10.0,26.0,2685.0,104.0,17593.0,95.0
alexsmith/2506340,2015,337,6,1446,110.0,2.0,0.0,-10.0,26.0,3149.0,122.0,20858.0,110.0
alexsmith/2506340,2016,421,8,1944,126.0,2.0,0.0,-10.0,26.0,3619.0,142.0,24344.0,126.0
alexsmith/2506340,2005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexsmith/2506340,2006,30,0,103,9.0,0.0,0.0,0.0,0.0,165.0,1.0,875.0,9.0
alexsmith/2506340,2007,74,2,250,25.0,0.0,0.0,0.0,0.0,607.0,17.0,3765.0,25.0
alexsmith/2506340,2009,87,2,339,32.0,0.0,0.0,0.0,0.0,800.0,19.0,4679.0,32.0
alexsmith/2506340,2010,111,2,390,43.0,1.0,0.0,-6.0,11.0,1172.0,37.0,7029.0,43.0
alexsmith/2506340,2011,129,2,450,54.0,1.0,0.0,-6.0,11.0,1514.0,51.0,9399.0,54.0
alexsmith/2506340,2012,181,4,629,70.0,1.0,0.0,-6.0,11.0,1959.0,68.0,12543.0,70.0
alextanney/2534870,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexvandyke/2503446,1996,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexvandyke/2503446,1997,0,0,0,0.0,17.0,1.0,118.0,15.0,0.0,0.0,0.0,0.0
alexvandyke/2503446,1998,0,0,0,0.0,20.0,3.0,171.0,20.0,0.0,0.0,0.0,0.0
alexvandyke/2503446,2000,0,0,0,0.0,25.0,3.0,211.0,36.0,0.0,0.0,0.0,0.0
alexvanpelt/2503454,1995,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexvanpelt/2503454,1996,0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,106.0,1.0
alexvanpelt/2503454,1997,3,0,-5,1.0,0.0,0.0,0.0,0.0,23.0,2.0,115.0,2.0
alexvanpelt/2503454,1998,14,1,28,7.0,0.0,0.0,0.0,0.0,147.0,4.0,799.0,8.0
alexvanpelt/2503454,1999,15,1,27,8.0,0.0,0.0,0.0,0.0,147.0,4.0,799.0,8.0
alexvanpelt/2503454,2000,16,1,26,9.0,0.0,0.0,0.0,0.0,148.0,4.0,808.0,9.0
alexvanpelt/2503454,2001,16,1,26,9.0,0.0,0.0,0.0,0.0,156.0,4.0,875.0,10.0
alexvanpelt/2503454,2002,28,1,59,21.0,0.0,0.0,0.0,0.0,463.0,16.0,2931.0,22.0
alexvanpelt/2503454,2003,28,1,59,21.0,0.0,0.0,0.0,0.0,465.0,16.0,2936.0,24.0
alfredanderson/2499417,1984,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredanderson/2499417,1985,201,2,773,16.0,17.0,1.0,102.0,16.0,7.0,2.0,95.0,16.0
alfredanderson/2499417,1986,251,6,894,28.0,33.0,2.0,277.0,28.0,7.0,2.0,95.0,16.0
alfredanderson/2499417,1987,334,8,1241,44.0,50.0,4.0,456.0,44.0,9.0,2.0,112.0,32.0
alfredanderson/2499417,1988,402,10,1560,54.0,57.0,4.0,525.0,54.0,9.0,2.0,112.0,32.0
alfredanderson/2499417,1989,489,17,1860,70.0,80.0,5.0,767.0,70.0,9.0,2.0,112.0,32.0
alfredanderson/2499417,1990,541,19,2049,81.0,100.0,5.0,960.0,81.0,9.0,2.0,112.0,32.0
alfredanderson/2499417,1991,600,21,2256,92.0,113.0,5.0,1040.0,92.0,9.0,2.0,112.0,32.0
alfredblue/2543600,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredblue/2543600,2015,169,2,528,16.0,15.0,1.0,113.0,16.0,0.0,0.0,0.0,0.0
alfredblue/2543600,2016,352,4,1226,32.0,30.0,2.0,222.0,32.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1980,0,0,0,0.0,11.0,0.0,156.0,12.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1981,0,0,0,0.0,33.0,7.0,559.0,28.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1982,2,0,5,16.0,70.0,13.0,1163.0,44.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1983,3,0,9,25.0,96.0,14.0,1524.0,53.0,0.0,0.0,0.0,0.0
alfredjackson/2517223,1984,3,0,9,25.0,109.0,17.0,1744.0,57.0,0.0,0.0,0.0,0.0
alfredjenkins/2517478,1979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredjenkins/2517478,1980,0,0,0,0.0,50.0,3.0,858.0,16.0,0.0,0.0,0.0,0.0
alfredjenkins/2517478,1981,0,0,0,0.0,108.0,9.0,1893.0,32.0,0.0,0.0,0.0,0.0
alfredjenkins/2517478,1982,0,0,0,0.0,178.0,22.0,3251.0,48.0,0.0,0.0,0.0,0.0
alfredjenkins/2517478,1983,0,0,0,0.0,202.0,23.0,3598.0,57.0,0.0,0.0,0.0,0.0
alfredmorris/2533457,2016,1078,29,4713,64.0,47.0,0.0,365.0,64.0,0.0,0.0,0.0,0.0
alfredmorris/2533457,2012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredmorris/2533457,2013,335,13,1613,16.0,11.0,0.0,77.0,16.0,0.0,0.0,0.0,0.0
alfredmorris/2533457,2014,611,20,2888,32.0,20.0,0.0,155.0,32.0,0.0,0.0,0.0,0.0
alfredmorris/2533457,2015,876,28,3962,48.0,37.0,0.0,310.0,48.0,0.0,0.0,0.0,0.0
alfredoroberts/2502691,1991,0,0,0,0.0,29.0,1.0,278.0,48.0,0.0,0.0,0.0,0.0
alfredoroberts/2502691,1992,0,0,0,0.0,45.0,2.0,414.0,64.0,0.0,0.0,0.0,0.0
alfredoroberts/2502691,1988,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredoroberts/2502691,1989,0,0,0,0.0,10.0,0.0,104.0,16.0,0.0,0.0,0.0,0.0
alfredoroberts/2502691,1990,0,0,0,0.0,18.0,1.0,159.0,32.0,0.0,0.0,0.0,0.0
alharris/2515899,1981,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
